Name,Status,ID,Type,Impressions,Clickthroughs,Off-site Average Order Value,Off-site Conversion,Off-site Purchase Qty,Off-site Revenue,Off-site Revenue Per Mille,On-site Average Order Value,On-site Conversion,On-site Purchase Qty,On-site Revenue,On-site Revenue Per Mille
YG 2026 Fruit Trees and Bushes - EM3498C,Inactive,yg-2026-fruit-trees-and-bushes-em3498c,Email,37212,127,26.95,0.01,2.0,53.9,1.45,0,0,0,0,0
YG 2026 Fruit Trees and Bushes - EM3498B,Active,yg-2026-fruit-trees-and-bushes-em3498b,Email,34356,277,39.15,0.01,4.0,156.59,4.56,0,0,0,0,0
YG 2026 Fruit Trees and Bushes - EM3498A URL TEST,Inactive,yg-2026-fruit-trees-and-bushes-em3498a-url-test,Email,5,11,0,0,0,0,0,0,0,0,0,0
YG 2026 Fruit Trees and Bushes - EM3498A,Active,yg-2026-fruit-trees-and-bushes-em3498a,Email,5956,61,0,0,0,0,0,0,0,0,0,0
YG 2026 Bedding Plants (from each range) EM3503E,Inactive,yg-2026-bedding-plants-from-each-range-em3503e,Email,10810,154,0,0,0,0,0,0,0,0,0,0
YG 2026 Bedding Plants (from each range) EM3503D,Active,yg-2026-bedding-plants-from-each-range-em3503d,Email,97145,668,16.99,0.0,1.0,16.99,0.17,0,0,0,0,0
YG 2026 Bedding Plants (from each range) EM3503C,Active,yg-2026-bedding-plants-from-each-range-em3503c,Email,38985,432,37.45,0.01,2.0,74.9,1.92,0,0,0,0,0
YG 2026 Bedding Plants (from each range) EM3503B,Active,yg-2026-bedding-plants-from-each-range-em3503b,Email,38827,704,25.33,0.01,5.0,126.63,3.26,0,0,0,0,0
YG 2026 Bedding Plants (from each range) EM3503A,Active,yg-2026-bedding-plants-from-each-range-em3503a,Email,5085,59,31.47,0.04,2.0,62.94,12.38,0,0,0,0,0
YG 2026 Bedding Plants (from each range) EM3493E,Inactive,yg-2026-bedding-plants-from-each-range-em3493e,Email,10347,159,0,0,0,0,0,0,0,0,0,0
